Particulars,Total,July'26,Aug'26,Sep'26,Oct'26,Nov'26,Dec'26,Jan'27,Feb'27,Mar'27,Apr'27,May'27,Jun'27,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
CM4%,1.56%,0.77%,0.68%,0.42%,0.43%,0.34%,1.33%,0.94%,4.17%,4.07%,1.43%,1.23%,1.08%,,,,,,
Institution Business,1.00%,0.77%,0.68%,0.42%,0.43%,0.34%,0.38%,-0.53%,3.54%,3.75%,0.83%,0.78%,0.82%,,,,,,
Procurement business,,,,,,,3.10%,3.10%,5.22%,4.57%,4.10%,3.39%,3.39%,,,,,,
,,,,,,,,,,,,,,,,,,,
SG&A cost,"5,583,333","232,500","232,500","262,500","332,500","232,500","585,833","655,833","652,500","665,833","589,167","572,500","569,167",,,,,,
Institution Business,"2,850,000","232,500","232,500","262,500","332,500","232,500","202,500","272,500","252,500","282,500","172,500","172,500","202,500",,,,,,
Procurement business,"2,733,333",0,0,0,0,0,"383,333","383,333","400,000","383,333","416,667","400,000","366,667",,,,,,
,,,,,,,,,,,,,,,,,,,
CM5,"25,275,404","492,843","376,206","-110,269","-151,988","-108,395","1,319,239","505,852","6,017,788","4,637,567","4,856,023","3,704,270","3,736,268",,,,,,
Institution Business,"13,232,738","492,843","376,206","-110,269","-151,988","-108,395","152,573","-660,815","3,288,788","2,734,900","2,401,690","2,070,270","2,746,935",,,,,,
Procurement business,"12,042,667",0,0,0,0,0,"1,166,667","1,166,667","2,729,000","1,902,667","2,454,333","1,634,000","989,333",,,,,,
,,,,,,,,,,,,,,,,,,,
CM5%,1.28%,0.52%,0.42%,-0.30%,-0.36%,-0.30%,0.92%,0.41%,3.76%,3.56%,1.28%,1.07%,0.94%,,,,,,
Institution Business,0.83%,0.52%,0.42%,-0.30%,-0.36%,-0.30%,0.16%,-0.90%,3.29%,3.40%,0.77%,0.72%,0.77%,,,,,,
Procurement business,3.20%,,,,,,2.30%,2.30%,4.50%,3.80%,3.50%,2.70%,2.50%,,,,,,
,,,,,,,,,,,,,,,,,,,
Salary Expense,"17,272,987","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,646,848","1,646,848","1,646,848","1,646,848","1,646,848","1,646,848","1,646,848",,,,,,
Institution Business,"13,788,118","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010",,,,,,
Procurement business,"3,484,869",0,0,0,0,0,"497,838","497,838","497,838","497,838","497,838","497,838","497,838",,,,,,
,,,,,,,,,,,,,,,,,,,
CM6,"8,002,417","-656,167","-772,804","-1,259,279","-1,300,997","-1,257,405","-327,609","-1,140,997","4,370,940","2,990,718","3,209,175","2,057,422","2,089,420",,,,,,
Institution Business,"-555,380","-656,167","-772,804","-1,259,279","-1,300,997","-1,257,405","-996,437","-1,809,825","2,139,779","1,585,890","1,252,680","921,260","1,597,925",,,,,,
Procurement business,"8,557,797",0,0,0,0,0,"668,828","668,828","2,231,162","1,404,828","1,956,495","1,136,162","491,495",,,,,,
,,,,,,,,,,,,,,,,,,,
CM6%,-0.03%,-0.69%,-0.87%,-3.44%,-3.07%,-3.46%,-0.23%,-0.92%,2.73%,2.29%,0.84%,0.59%,0.52%,,,,,,
Institution Business,-0.03%,-0.69%,-0.87%,-3.44%,-3.07%,-3.46%,-1.07%,-2.46%,2.14%,1.97%,0.40%,0.32%,0.45%,,,,,,
Procurement business,2.25%,,,,,,1.34%,1.34%,3.72%,2.81%,2.79%,1.89%,1.23%,,,,,,
,,,,,,,,,,,,,,,,,,,
Cost of Capital,"29,160,672","2,298,480","1,442,112","804,960","837,600","1,426,080","2,120,000","2,516,000","2,259,360","1,869,360","4,388,320","4,526,400","4,672,000",,,,,,
Institution Business,"25,110,672","2,298,480","1,442,112","804,960","837,600","1,426,080","1,620,000","2,016,000","1,509,360","1,269,360","3,688,320","3,926,400","4,272,000",,,,,,
Procurement business,"4,050,000",0,0,0,0,0,"500,000","500,000","750,000","600,000","700,000","600,000","400,000",,,,,,
,,,,,,,,,,,,,,,,,,,
CM7,"-21,158,255","-2,954,647","-2,214,916","-2,064,239","-2,138,597","-2,683,485","-2,447,609","-3,656,997","2,111,580","1,121,358","-1,179,145","-2,468,978","-2,582,580",,,,,,
Institution Business,"-21,158,255","-2,954,647","-2,214,916","-2,064,239","-2,138,597","-2,683,485","-2,447,609","-3,656,997","2,111,580","1,121,358","-1,179,145","-2,468,978","-2,582,580",,,,,,
Procurement business,"4,507,797",0,0,0,0,0,"168,828","168,828","1,481,162","804,828","1,256,495","536,162","91,495",,,,,,
,,,,,,,,,,,,,,,,,,,
CM7%,-1.07%,-3.12%,-2.49%,-5.64%,-5.05%,-7.39%,-1.71%,-2.96%,1.32%,0.86%,-0.31%,-0.71%,-0.65%,,,,,,
Institution Business,-1.07%,-3.12%,-2.49%,-5.64%,-5.05%,-7.39%,-1.71%,-2.96%,1.32%,0.86%,-0.31%,-0.71%,-0.65%,,,,,,
Procurement business,1.19%,,,,,,0.34%,0.34%,2.47%,1.61%,1.79%,0.89%,0.23%,,,,,,
,,,,,,,,,,,,,,,,,,,
Total working capital,,"150,000,000","80,000,000","50,000,000","50,000,000","70,000,000","150,000,000","190,000,000","175,000,000","140,000,000","230,000,000","260,000,000","240,000,000",,,,,,
,,,,,,,,,,,,,,,,,,,
Working Capital - Institute business,,"150,000,000","80,000,000","50,000,000","50,000,000","70,000,000","100,000,000","140,000,000","100,000,000","80,000,000","160,000,000","200,000,000","200,000,000",,,,,,
Opening balance,,"210,000,000","150,000,000","80,000,000","50,000,000","50,000,000","70,000,000","100,000,000","140,000,000","100,000,000","80,000,000","160,000,000","200,000,000",,,,,,
Working Capital injection,,,,,,"20,000,000","30,000,000","40,000,000",,,"80,000,000","40,000,000",,,,,,,
Capital return,15,"-60,000,000","-70,000,000","-30,000,000",,,,,"-40,000,000","-20,000,000",,,,,,,,,
Closing balance,,"150,000,000","80,000,000","50,000,000","50,000,000","70,000,000","100,000,000","140,000,000","100,000,000","80,000,000","160,000,000","200,000,000","200,000,000",,,,,,
Cycle,,2,1.5,1.2,1,1.5,2,2.5,2,1,2.5,2.5,2.5,,,,,,
req cap,,"47,275,000","59,313,333","30,506,667","42,350,000","24,200,000","71,375,000","49,400,000","79,948,750","130,392,500","152,080,000","138,960,000","159,400,000",,,,,,
number of Institutions with factoring,,5,5,5,5,2,2,2,2,1,5,5,5,,,,,,
Total Revenue of factoring firms,"890,695,000","51,925,000","50,220,000","21,350,000","24,750,000","61,050,000","43,750,000","35,000,000","32,225,000","32,225,000","184,200,000","159,000,000","195,000,000",,,,,,
Total factoring amount,"712,556,000","41,540,000","40,176,000","17,080,000","19,800,000","48,840,000","35,000,000","28,000,000","25,780,000","25,780,000","147,360,000","127,200,000","156,000,000",,,,,,
Total non-factoring amount,"178,139,000","10,385,000","10,044,000","4,270,000","4,950,000","12,210,000","8,750,000","7,000,000","6,445,000","6,445,000","36,840,000","31,800,000","39,000,000",,,,,,
Total Revenue of factoring firms per cycle,"442,176,667","25,962,500","33,480,000","17,791,667","24,750,000","40,700,000","21,875,000","14,000,000","16,112,500","32,225,000","73,680,000","63,600,000","78,000,000",,,,,,
Factoring amount per cycle,"353,741,333","20,770,000","26,784,000","14,233,333","19,800,000","32,560,000","17,500,000","11,200,000","12,890,000","25,780,000","58,944,000","50,880,000","62,400,000",,,,,,
Non-factoring amount per cycle,"88,435,333","5,192,500","6,696,000","3,558,333","4,950,000","8,140,000","4,375,000","2,800,000","3,222,500","6,445,000","14,736,000","12,720,000","15,600,000",,,,,,
,,,,,,,,,,,,,,,,,,,
Working Capital - Procurement business,,,,,,,,,,,,,,,,,,,
Opening balance,,,,,,,,"50,000,000","50,000,000","75,000,000","60,000,000","70,000,000","60,000,000",,,,,,
New injection working capital,,,,,,,"50,000,000",0,"25,000,000",,"10,000,000",,,,,,,,
Return,,,,,,,,,,"-15,000,000",,"-10,000,000","-20,000,000",,,,,,
Closing balance,,,,,,,"50,000,000","50,000,000","75,000,000","60,000,000","70,000,000","60,000,000","40,000,000",,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,0,0,0,3,,,,,,,,,,,,,
Capex,,,,,,,,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Institution Business,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Factoring ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Non Factoring,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cycle ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OVERALL PARTICULARS (VOLUME),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Particulars,,"45,839.00","45,870.00","45,901.00","45,931.00","45,962.00","45,992.00","46,023.00","46,054.00","46,082.00","46,113.00","46,143.00","46,174.00",,,,,,
Number of Buyers,,9,9,5,5,5,5,5,7,3,9,9,9,,,,,,
Average order per buyer,,16.94,15.94,11,12.1,11,26.5,21,7.38,9,57.44,53.22,66.39,,,,,,
Growth % of order per buyer,,,-6.27%,-44.95%,9.09%,-10.00%,58.49%,-26.19%,-184.52%,17.99%,84.33%,-7.93%,19.83%,,,,,,
Total Number of Orders Genrated ,"2,427",152.5,143.5,57.75,63.525,57.75,139.125,107.1,52.7,27.54,527.34,488.58,609.45,,,,,,
Growth% of total orders,,,,,,,,,,,,,,,,,,,
Total Number of Orders Completed ,"2,376",152.5,143.5,55,60.5,55,132.5,105,51.6667,27,517,479,597.5,,,,,,
Average Order Value,,"620,000.00","620,000.00","665,600.00","700,000.00","660,000.00","700,000.00","700,000.00","1,933,500.00","2,977,500.00","600,000.00","600,000.00","600,000.00",,,,,,
Successful Order Complitation %,12,100.00%,100.00%,95.24%,95.24%,95.24%,95.24%,98.04%,98.04%,98.04%,98.04%,98.04%,98.04%,,,,,,
Number of Orders Not Fulfilled,51,0,0,2.75,3.03,2.75,6.63,2.1,1.03,0.54,10.34,9.58,11.95,,,,,,
Volume (Ton) per truck,230,20,20,20,20,20,20,20,15,15,20,20,20,,,,,,
Monthly Total Order Volume (Ton),"47,130","3,050.00","2,870.00","1,100.00","1,210.00","1,100.00","2,650.00","2,100.00",775,405,"10,340.00","9,580.00","11,950.00",,,,,,
Unit Selling Price ,,31,31,33.28,35,33,35,35,128.9,198.5,30,30,30,,,,,,
Number of suppliers enlisted,"4,338",204,234,264,294,324,354,384,414,444,474,474,474,,,,,,
New registered suppliers,270,30,30,30,30,30,30,30,30,30,,,,,,,,,
Total suppliers - (Cuml),"4,608",234,264,294,324,354,384,414,444,474,474,474,474,,,,,,
Actively transacting suppliers,574,30,30,20,20,26,70,70,76,20,70,70,72,,,,,,
Repeat suppliers,251,0,15,15,10,10,13,35,35,38,10,35,35,,,,,,
Cumulative registered suppliers,825,30,45,35,30,36,83,105,111,58,80,105,107,,,,,,
Consignment per supplier,"1,650",60,90,70,60,72,166,210,222,116,160,210,214,,,,,,
kg per consignment,"33,000,000","1,200,000","1,800,000","1,400,000","1,200,000","1,440,000","3,320,000","4,200,000","4,440,000","2,320,000","3,200,000","4,200,000","4,280,000",,,,,,
% of number of suppliers growth,,,12.82%,11.36%,10.20%,9.26%,8.47%,7.81%,7.25%,6.76%,0.00%,0.00%,0.00%,,,,,,
Projected % of suppliers converted,,512820.51%,681818.18%,476190.48%,370370.37%,406779.66%,864583.33%,1014492.75%,1000000.00%,489451.48%,675105.49%,886075.95%,902953.59%,,,,,,
Number of suppliers active,,47,53,59,65,71,96,104,89,95,119,119,119,,,,,,
No of Farmers serviced,,"18,910","17,794","7,322","8,470","7,260","18,550","14,700","19,980","16,079","62,040","57,480","71,700",,,,,,
CAC per supplier,,"9,249.13","9,249.13","9,249.13","9,249.13","9,249.13","9,249.13","9,249.13","9,249.13","9,249.13","9,249.13","9,249.13","9,249.13",,,,,,
CAC per Supplier 200 ton 0.05 tk/kg,,"2,875","2,875","2,875","2,875","2,875","2,875","2,875","2,875","2,875","2,875","2,875","2,875",,,,,,
Training (QC & Tech),,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",,,,,,
Branding expense per supplier,,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000",,,,,,
Supplier Certification,,500,500,500,500,500,500,500,500,500,500,500,500,,,,,,
Emplyoee incentive,,"2,875","2,875","2,875","2,875","2,875","2,875","2,875","2,875","2,875","2,875","2,875","2,875",,,,,,
,,,,,,,,,,,,,,,,,,,
No of Procurement center,,,,,,,,,3,3,3,3,3,,,,,,
New Procurement center,,,,,,,,3,,,,,,,,,,,
Total Procurement center (cuml),,0,0,0,0,0,0,3,3,3,3,3,3,,,,,,
,,,,,,,,,,,,,,,,,,,
No of Spoke,,10,10,10,10,15,15,15,15,15,20,20,20,,,,,,
New spoke establishment,,,,,5,,,,,5,,,,,,,,,
Total spoke (cuml),,10,10,10,15,15,15,15,15,20,20,20,20,,,,,,
Projected Active suppliers (25% on-season and 20% off-season. Based on Historical data from Jan'26-May'26),,46.8,52.8,58.8,64.8,70.8,96,103.5,88.8,94.8,118.5,118.5,118.5,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OVERALL PARTICLUARS (AMOUNT),,,,,,,,,,,,,,,,,,,
Revenue,"1,601,418,000","94,550,000","88,970,000","36,608,000","42,350,000","36,300,000","92,750,000","73,500,000","99,897,500","80,392,500","310,200,000","287,400,000","358,500,000",,,,,,
Revenue Growth %,,,-5.90%,-58.85%,15.69%,-14.29%,155.51%,-20.75%,35.91%,-19.53%,285.86%,-7.35%,24.74%,,,,,,
COGS % (Subtracting Avg GP% of of Procurement and Receive model) ,95.30%,94.95%,94.95%,94.95%,94.95%,94.95%,94.95%,94.95%,91.70%,91.70%,94.95%,94.95%,94.95%,,,,,,
Procurement Model,,,,,,,,,,,,,,,,,,,
Receive Model,,,,,,,,,,,,,,,,,,,
COGS,"1,514,686,966","89,775,225.00","84,477,015.00","34,759,296.00","40,211,325.00","34,466,850.00","88,066,125.00","69,788,250.00","91,606,007.50","73,719,922.50","294,534,900.00","272,886,300.00","340,395,750.00",,,,,,
Gross Margin,"86,731,034","4,774,775","4,492,985","1,848,704","2,138,675","1,833,150","4,683,875","3,711,750","8,291,493","6,672,578","15,665,100","14,513,700","18,104,250",,,,,,
Gross Margin% (Avg of Procurement and Receive model) ,5.42%,5.05%,5.05%,5.05%,5.05%,5.05%,5.05%,5.05%,8.30%,8.30%,5.05%,5.05%,5.05%,,,,,,
Procurement Model GP%,,5.50%,5.50%,5.50%,5.50%,5.50%,5.50%,5.50%,12.00%,12.00%,5.50%,5.50%,5.50%,,,,,,
Receive Model GP%,,4.60%,4.60%,4.60%,4.60%,4.60%,4.60%,4.60%,4.60%,4.60%,4.60%,4.60%,4.60%,,,,,,
,,,,,,,,,,,,,,,,,,,
Selling Opex %,4.04%,4.04%,4.04%,4.04%,4.04%,4.04%,4.04%,4.04%,4.04%,4.04%,4.04%,4.04%,4.04%,,,,,,
Procurement Model,4.09%,4.09%,4.09%,4.09%,4.09%,4.09%,4.09%,4.09%,4.09%,4.09%,4.09%,4.09%,4.09%,,,,,,
Receive Model,3.98%,3.98%,3.98%,3.98%,3.98%,3.98%,3.98%,3.98%,3.98%,3.98%,3.98%,3.98%,3.98%,,,,,,
Selling Opex,"64,617,216","3,815,092.50","3,589,939.50","1,477,132.80","1,708,822.50","1,464,705.00","3,742,462.50","2,965,725.00","4,030,864.13","3,243,837.38","12,516,570.00","11,596,590.00","14,465,475.00",,,,,,
,,,,,,,,,,,,,,,,,,,
CM3,"22,113,818","959,682.50","903,045.50","371,571.20","429,852.50","368,445.00","941,412.50","746,025.00","4,260,628.38","3,428,740.13","3,148,530.00","2,917,110.00","3,638,775.00",,,,,,
CM3%,1.56%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,4.27%,4.27%,1.02%,1.02%,1.02%,,,,,,
,,,,,,,,,,,,,,,,,,,
Marketing cost,"6,031,080","234,340","294,340","219,340","249,340","244,340","586,340","1,134,340","719,340","411,340","574,340","674,340","689,340",,,,,,
"Branding (HUB & Spoke, Procurement centre)","510,000",,,,"50,000.00",,,"460,000.00",,,,,,reg,,,,,
Events & Activations ( Online & Offline)   ,"100,000", ,,,,,,,,"100,000.00",,,,reg,,,,,
"Product Promotion Cost (Display, Demonstration, Trial)",0,,,,,,,,,,,,,,,,,,
CEX,"112,080","9,340","9,340","9,340","9,340","9,340","9,340","9,340","9,340","9,340","9,340","9,340","9,340",,,,,,
Total CAC cost,"5,309,000","225,000","285,000","210,000","190,000","235,000","577,000","665,000","710,000","302,000","565,000","665,000","680,000",supplier connect,,,,,
CAC per Supplier 200 ton 0.05 tk/kg,"1,650,000","60,000","90,000","70,000","60,000","72,000","166,000","210,000","222,000","116,000","160,000","210,000","214,000",,,,,,
Training (QC & Tech),"574,000","30,000","30,000","20,000","20,000","26,000","70,000","70,000","76,000","20,000","70,000","70,000","72,000",,,,,,
Branding expense,"1,148,000","60,000","60,000","40,000","40,000","52,000","140,000","140,000","152,000","40,000","140,000","140,000","144,000",,,,,,
Supplier Certification,"287,000","15,000","15,000","10,000","10,000","13,000","35,000","35,000","38,000","10,000","35,000","35,000","36,000",,,,,,
Emplyoee incentive,"1,650,000","60,000","90,000","70,000","60,000","72,000","166,000","210,000","222,000","116,000","160,000","210,000","214,000",,,,,,
,,,,,,,,,,,,,,,,,,,
CM4,"16,082,738","725,343","608,706","152,231","180,513","124,105","355,073","-388,315","3,541,288","3,017,400","2,574,190","2,242,770","2,949,435",,,,,,
CM4%,1.02%,0.77%,0.68%,0.42%,0.43%,0.34%,0.38%,-0.53%,3.54%,3.75%,0.83%,0.78%,0.82%,,,,,,
,,,,,,,,,,,,,,,,,,,
SG&A Expense,"2,850,000","232,500","232,500","262,500","332,500","232,500","202,500","272,500","252,500","282,500","172,500","172,500","202,500",,,,,,
Business development cost,"350,000","29,167","29,167","29,167","29,167","29,167","29,167","29,167","29,167","29,167","29,167","29,167","29,167",,,,,,
Rent Expense,"540,000","80,000","80,000","80,000","80,000","80,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000",,,,,,
Bank charge,"300,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000",,,,,,
Travel Allowance HQ,"360,000",0,0,0,"100,000",0,0,"100,000","80,000","80,000",0,0,0,,,,,,
Travel allowances for employess,"240,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000",,,,,,
Utility,"120,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000",,,,,,
Mobile bill,"150,000","12,500","12,500","12,500","12,500","12,500","12,500","12,500","12,500","12,500","12,500","12,500","12,500",,,,,,
Meeting & Conference Expense,"120,000",,,"30,000",,,"30,000",,,"30,000",,,"30,000",,,,,,
Conveyance Expenses,"240,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000",,,,,,
Printing & Stationary Expenses,"60,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000",,,,,,
Repair & Maintenance Expenses,"60,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000",,,,,,
Meals & Entertainment Expenses,"60,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000",,,,,,
Office Supplies,0,,,,,,,,,,,,,"1,128,634","13,543,608","15,575,149",,,
Others,"100,000","8,333","8,333","8,333","8,333","8,333","8,333","8,333","8,333","8,333","8,333","8,333","8,333","14,672,242",,,,,
Legal and membership fees,"150,000","12,500","12,500","12,500","12,500","12,500","12,500","12,500","12,500","12,500","12,500","12,500","12,500",,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CM5,"13,232,738","492,843","376,206","-110,269","-151,988","-108,395","152,573","-660,815","3,288,788","2,734,900","2,401,690","2,070,270","2,746,935",,,,,,
CM5%,0.83%,0.52%,0.42%,-0.30%,-0.36%,-0.30%,0.16%,-0.90%,3.29%,3.40%,0.77%,0.72%,0.77%,,,,,,
,,,,,,,,,,,,,,,,,,,
Salary,"13,788,118","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010","1,149,010",,,,,,
Field,"5,035,247","419,604","419,604","419,604","419,604","419,604","419,604","419,604","419,604","419,604","419,604","419,604","419,604",reg,,,,,
HQ Salary,"7,552,871","629,405.91","629,405.91","629,405.91","629,405.91","629,405.91","629,405.91","629,405.91","629,405.91","629,405.91","629,405.91","629,405.91","629,405.91",reg,,,,,
Bonus,"1,200,000","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00",,,,,,
Platform Development Cost (Tech & Product),0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CM6,"-555,380","-656,167","-772,804","-1,259,279","-1,300,997","-1,257,405","-996,437","-1,809,825","2,139,779","1,585,890","1,252,680","921,260","1,597,925",,,,,,
CM6%,-0.03%,-0.69%,-0.87%,-3.44%,-3.07%,-3.46%,-1.07%,-2.46%,2.14%,1.97%,0.40%,0.32%,0.45%,,,,,,
,,,,,,,,,,,,,,,,,,,
Total cost of fund,"25,110,672","2,298,480","1,442,112","804,960","837,600","1,426,080","1,620,000","2,016,000","1,509,360","1,269,360","3,688,320","3,926,400","4,272,000",,,,,,
Cost of Fund 1.2% of WC,"16,560,000","1,800,000","960,000","600,000","600,000","840,000","1,200,000","1,680,000","1,200,000","960,000","1,920,000","2,400,000","2,400,000",,,,,,
Cost of Fund 1.2% on Factoring amount,"8,550,672","498,480","482,112","204,960","237,600","586,080","420,000","336,000","309,360","309,360","1,768,320","1,526,400","1,872,000",,,,,,
