Buyer,Average of 3 month-procurement cost,Sales revenue,No of payment/month,Recovery timeline (Working days),Factoring status,Factoring FI,Factoring amount recovery timeline,Remaining non-factoring amount recovery timeline,payment per installment,Factoring amount %,Remaining non-factoring amount%,Factoring availability,Factoring amount ,Rest of factoring amount,Factoring charge per year (Bank rate),interest on crowd funding per year (based on Jan'26-Jun'26 data),Factoring cost of fund/day,investor's cost of fund/day,factoring cost (Total weighted average),Investor's cost of fund (Total Weighted Average),Total Weighted average Finance cost %,Per day rate of Weighter Average finance cost %,30-day conversion of the weighted average Finance cost %,Unnamed: 24,Buyer.1,Cash inflow/outflow,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,April Total,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,13.1,14.1,15.1,May Total,1.2,2.2,3.2,4.2,5.2,6.2,7.2,8.2,9.2,10.2,11.2,12.2,13.2,14.2,15.2,16.1,17.1,18.1,19.1,20.1,21.1,22.1,June Total
CP Bangladesh Chuadanga,,,1,19.0,No,,,19.0,0.0, ,100.00%,,,,,,,,,0.00%,0.00%,0.00%,0.00%,,CP Bangladesh Chuadanga,Cash inflow,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Bhola,,,4,5.0,No,,,5.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.16%,0.16%,0.03%,0.98%,,Kazi Farms Ltd - Bhola,Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Dinajpur(Kobiraj Haat),,,4,5.0,No,,,5.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.16%,0.16%,0.03%,0.98%,,Kazi Farms Ltd - Dinajpur(Kobiraj Haat),Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Gaibandha,,,4,5.0,No,,,5.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.16%,0.16%,0.03%,0.98%,,Kazi Farms Ltd - Gaibandha,Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kazi Farms Ltd - Lalmonirhat, Patgram",,,4,5.0,No,,,5.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.16%,0.16%,0.03%,0.98%,,"Kazi Farms Ltd - Lalmonirhat, Patgram",Cash inflow,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Panchagar,,,4,5.0,No,,,5.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.16%,0.16%,0.03%,0.98%,,Kazi Farms Ltd - Panchagar,Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Rangpur,,,4,5.0,No,,,5.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.16%,0.16%,0.03%,0.98%,,Kazi Farms Ltd - Rangpur,Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Thakurgaon,,,4,5.0,No,,,5.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.16%,0.16%,0.03%,0.98%,,Kazi Farms Ltd - Thakurgaon,Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Thakurgaon (Fatabari),,,4,5.0,No,,,5.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.16%,0.16%,0.03%,0.98%,,Kazi Farms Ltd - Thakurgaon (Fatabari),Cash inflow,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazi Farms Ltd - Thakurgaon WH,,,4,5.0,No,,,5.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.16%,0.16%,0.03%,0.98%,,Kazi Farms Ltd - Thakurgaon WH,Cash inflow,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGI - Tanvir Food Ltd - Bogra,,,1,14.0,No,,,14.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.46%,0.46%,0.03%,0.98%,,MGI - Tanvir Food Ltd - Bogra,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hope Feed Mill - Bogura,,,1,29.0,No,,,29.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.94%,0.94%,0.03%,0.98%,,New Hope Feed Mill - Bogura,Cash inflow,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hope Feed Mill - Dinajpur,,,1,29.0,Yes,IDLC,3.0,26.0,0.0,90.00%,10.00%,,0.0,0.0,15.92%,0.98%,0.04%,0.03%,1.02%,0.18%,1.20%,0.05%,1.39%,,New Hope Feed Mill - Dinajpur,Cash inflow,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hope Feed Mill - Gazipur,,,1,29.0,Yes,IDLC,3.0,26.0,0.0,90.00%,10.00%,,0.0,0.0,15.92%,0.98%,0.04%,0.03%,1.02%,0.18%,1.20%,0.05%,1.39%,,New Hope Feed Mill - Gazipur,Cash inflow,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hope Feed Mill - Jadur Mor,,,1,29.0,Yes,IDLC,,29.0,0.0,90.00%,10.00%,,,,,0.98%,,0.03%,0.00%,0.09%,0.09%,0.00%,0.10%,,New Hope Feed Mill - Jadur Mor,Cash inflow,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish - Bhaluka,,,2,10.0,No,,,10.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.33%,0.33%,0.03%,0.98%,,Nourish - Bhaluka,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish - Bogra,,,2,10.0,No,,,10.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.33%,0.33%,0.03%,0.98%,,Nourish - Bogra,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Chittagong,,,2,10.0,No,,,10.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.33%,0.33%,0.03%,0.98%,,Nourish Chittagong,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Jessore,,,2,10.0,No,,,10.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.33%,0.33%,0.03%,0.98%,,Nourish Jessore,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Jessore (Kapotakkha Unit),,,2,10.0,No,,,10.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.33%,0.33%,0.03%,0.98%,,Nourish Jessore (Kapotakkha Unit),Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Lalmonirhat,,,2,10.0,No,,,10.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.33%,0.33%,0.03%,0.98%,,Nourish Lalmonirhat,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Rangpur,,,2,10.0,No,,,10.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.33%,0.33%,0.03%,0.98%,,Nourish Rangpur,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Sreepur,,,2,10.0,No,,,10.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.33%,0.33%,0.03%,0.98%,,Nourish Sreepur,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Thakurgaon WH,,,2,10.0,No,,,10.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.33%,0.33%,0.03%,0.98%,,Nourish Thakurgaon WH,Cash inflow,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paragon Feed Mill - Rangpur,,,3,7.0,No,,,7.0,, ,100.00%,,,,,0.98%,,0.03%,,0.23%,0.23%,0.03%,0.98%,,Paragon Feed Mill - Rangpur,Cash inflow,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Feed Mill - Nandigram,,,1,14.0,Yes,EBL,3.0,11.0,0.0,85.00%,15.00%,,0.0,0.0,13.00%,0.98%,0.04%,0.03%,0.33%,0.15%,0.48%,0.04%,1.32%,,Quality Feed Mill - Nandigram,Cash inflow,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Feed Mill - Sherpur,,,1,14.0,Yes,EBL,3.0,11.0,0.0,85.00%,15.00%,,0.0,0.0,13.00%,0.98%,0.04%,0.03%,0.33%,0.15%,0.48%,0.04%,1.32%,,Quality Feed Mill - Sherpur,Cash inflow,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Square Food & Beverage Ltd,,,1,25.0,No,,,25.0,0.0, ,100.00%,,,,,0.98%,,0.03%,,0.81%,0.81%,0.03%,0.98%,,Square Food & Beverage Ltd,Cash inflow,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TK Group,,,2,12.0,Yes,EBL,3.0,9.0,0.0,85.00%,15.00%,,0.0,0.0,13.00%,0.98%,0.04%,0.03%,0.27%,0.14%,0.41%,0.05%,1.38%,,TK Group,Cash inflow,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombey sweets,,,1,14.0,No,,,,,,100%,,,,,0.98%,0.00%,0.03%,0.00%,0.00%,0.00%, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh Edible Oil,,,#DIV/0!,,No,,,,,,100%,,,,,0.98%,0.00%,0.03%,0.00%,0.00%,0.00%, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
