Sales Date,Buyer Name,Product Name,Reporting Month,Gross Quantity,Receive Quantity KG,Unit Price2,Net Sales Amount,Sales/Revenue,Cost Of Product,Cogs,Total Selling Opex(F),Profit .After - S& D,Total Cogs,GP,GP %
2025-01-14,Prime Distributors,Product B,2025-05,55,54.908300752370096,105.91,5825.11,5825.11,2104.24,2630.3,844.54,2350.27,2630.3,3194.81,54.85
2025-03-18,Global Trading,Product D,2025-01,165,161.34361041528138,100.61,16600.88,16600.88,6487.76,8109.69,2317.14,6174.05,8109.69,8491.19,51.15
2025-02-27,XYZ Ltd,Product C,2025-08,223,215.14249006087115,86.8,19356.93,19356.93,7920.86,9901.08,2890.06,6565.78,9901.08,9455.84,48.85
2025-10-23,XYZ Ltd,Product A,2025-08,466,452.4808939551982,89.56,41736.59,41736.59,17392.17,21740.22,4954.02,15042.35,21740.22,19996.37,47.91
2025-04-01,XYZ Ltd,Product A,2025-08,62,59.11991684269977,85.71,5314.12,5314.12,1915.29,2394.11,658.7,2261.31,2394.11,2920.01,54.95
2025-06-19,National Imports,Product C,2025-07,192,186.86974097407162,106.29,20407.83,20407.83,7500.26,9375.32,2458.73,8573.78,9375.32,11032.51,54.06
2025-06-11,Prime Distributors,Product B,2025-02,107,102.32977374268758,82.14,8788.45,8788.45,3190.1,3987.62,1209.13,3591.69,3987.62,4800.82,54.63
2025-04-15,ABC Corp,Product D,2025-05,109,107.3623415486812,95.11,10366.71,10366.71,4248.6,5310.75,891.27,4164.69,5310.75,5055.96,48.77
2025-03-28,National Imports,Product D,2025-05,419,413.63769337083147,116.14,48663.09,48663.09,18776.0,23470.0,6601.78,18591.31,23470.0,25193.09,51.77
2025-01-26,XYZ Ltd,Product A,2025-02,166,165.2962739392998,85.66,14219.74,14219.74,5606.35,7007.94,1822.9,5388.91,7007.94,7211.81,50.72
2025-07-05,XYZ Ltd,Product D,2025-06,167,163.75786823105685,130.02,21713.63,21713.63,8963.73,11204.66,2162.58,8346.39,11204.66,10508.97,48.4
2025-12-05,Global Trading,Product D,2025-02,193,184.25861493679162,91.11,17583.31,17583.31,6499.02,8123.78,1827.46,7632.07,8123.78,9459.53,53.8
2025-01-05,National Imports,Product A,2025-04,449,435.496431287221,86.85,38994.93,38994.93,15571.82,19464.77,4412.0,15118.15,19464.77,19530.16,50.08
2025-10-01,XYZ Ltd,Product B,2025-05,149,145.56836199058046,83.17,12392.52,12392.52,4832.7,6040.87,1534.32,4817.33,6040.87,6351.65,51.25
2025-11-20,Prime Distributors,Product D,2025-08,329,322.0165502260582,146.07,48057.82,48057.82,20931.11,26163.89,6761.92,15132.01,26163.89,21893.94,45.56
2025-03-01,XYZ Ltd,Product C,2025-04,82,81.84088131167805,112.08,9190.37,9190.37,3709.69,4637.11,1340.9,3212.36,4637.11,4553.26,49.54
2025-03-18,XYZ Ltd,Product C,2025-04,334,328.70621311605316,84.86,28341.67,28341.67,10431.5,13039.37,2303.48,12998.81,13039.37,15302.3,53.99
2025-09-07,ABC Corp,Product B,2025-08,142,135.73897027611375,139.14,19758.06,19758.06,7149.69,8937.11,2707.11,8113.85,8937.11,10820.95,54.77
2025-09-04,Prime Distributors,Product B,2025-05,124,118.90012517143427,141.42,17536.46,17536.46,7344.37,9180.46,2389.23,5966.77,9180.46,8356.0,47.65
2025-07-24,ABC Corp,Product D,2025-08,276,274.16620917949416,149.34,41216.56,41216.56,16198.5,20248.12,4370.66,16597.78,20248.12,20968.44,50.87
2025-01-17,Prime Distributors,Product D,2025-01,232,226.26092752039514,132.56,30754.15,30754.15,12927.92,16159.9,2682.34,11911.91,16159.9,14594.25,47.45
2025-03-12,ABC Corp,Product B,2025-05,236,228.3878812474601,87.0,20531.75,20531.75,7479.28,9349.1,3020.18,8162.47,9349.1,11182.65,54.47
2025-05-03,National Imports,Product B,2025-07,433,424.3928460457592,113.78,49265.21,49265.21,19678.6,24598.25,4228.43,20438.54,24598.25,24666.96,50.07
2025-10-26,National Imports,Product C,2025-05,102,97.19354967608488,135.41,13811.87,13811.87,5844.76,7305.95,1193.13,5312.79,7305.95,6505.92,47.1
2025-09-10,XYZ Ltd,Product A,2025-03,264,261.84792313993336,118.21,31208.52,31208.52,12997.31,16246.63,4612.8,10349.1,16246.63,14961.89,47.94
2025-11-26,ABC Corp,Product A,2025-06,56,53.61049350073767,109.83,6150.28,6150.28,2323.61,2904.52,662.79,2582.97,2904.52,3245.76,52.77
2025-01-07,Prime Distributors,Product A,2025-06,388,387.7284206381637,120.69,46828.26,46828.26,20091.71,25114.64,6632.06,15081.55,25114.64,21713.61,46.37
2025-11-10,National Imports,Product D,2025-06,301,299.5906334956758,85.85,25839.36,25839.36,10908.65,13635.81,3077.17,9126.38,13635.81,12203.55,47.23
2025-09-07,Global Trading,Product A,2025-05,291,287.30495299331193,112.81,32826.62,32826.62,11965.44,14956.8,2899.16,14970.66,14956.8,17869.81,54.44
2025-05-06,Prime Distributors,Product D,2025-06,240,237.6253109883208,113.44,27225.61,27225.61,9981.76,12477.2,3185.01,11563.4,12477.2,14748.41,54.17
2025-12-05,Prime Distributors,Product D,2025-05,366,352.3297200742031,102.59,37547.23,37547.23,13647.37,17059.21,5434.02,15053.99,17059.21,20488.02,54.57
2025-01-21,Global Trading,Product D,2025-01,451,444.16566000972904,91.64,41327.42,41327.42,15594.68,19493.36,4158.14,17675.92,19493.36,21834.07,52.83
2025-06-12,Global Trading,Product D,2025-07,490,468.11552361542914,144.07,70593.22,70593.22,30827.79,38534.74,5933.39,26125.09,38534.74,32058.48,45.41
2025-12-28,Prime Distributors,Product D,2025-02,397,384.30285013982456,125.28,49735.92,49735.92,19449.8,24312.25,4777.51,20646.15,24312.25,25423.67,51.12
2025-12-16,National Imports,Product D,2025-03,496,475.2329000957533,117.53,58293.27,58293.27,22429.05,28036.31,7984.18,22272.78,28036.31,30256.96,51.9
2025-10-24,Global Trading,Product A,2025-06,131,130.19213273281395,109.16,14300.58,14300.58,5813.09,7266.36,2064.18,4970.04,7266.36,7034.22,49.19
2025-01-11,Global Trading,Product A,2025-05,168,164.59069800895793,108.79,18276.36,18276.36,7716.43,9645.54,2076.67,6554.16,9645.54,8630.82,47.22
2025-01-21,ABC Corp,Product B,2025-03,332,316.33583324440536,119.84,39785.45,39785.45,14524.91,18156.14,3285.38,18343.93,18156.14,21629.31,54.36
2025-05-05,National Imports,Product A,2025-05,400,395.1416240408491,132.49,52997.5,52997.5,22950.74,28688.43,6410.6,17898.47,28688.43,24309.08,45.87
2025-04-01,Global Trading,Product A,2025-05,127,124.91529934597719,94.35,11982.85,11982.85,4554.87,5693.58,1189.07,5100.2,5693.58,6289.27,52.49
2025-03-27,XYZ Ltd,Product D,2025-07,121,116.81205230061485,81.55,9867.9,9867.9,3945.71,4932.14,1118.38,3817.39,4932.14,4935.76,50.02
2025-07-15,ABC Corp,Product B,2025-04,438,433.2842349803804,86.19,37750.6,37750.6,15981.54,19976.93,4579.03,13194.64,19976.93,17773.67,47.08
2025-02-18,XYZ Ltd,Product C,2025-03,152,147.38105474275795,89.55,13610.99,13610.99,4915.79,6144.74,1422.91,6043.34,6144.74,7466.25,54.85
2025-07-10,Global Trading,Product C,2025-07,357,354.5431922011294,118.32,42240.68,42240.68,16730.39,20912.98,6071.38,15256.32,20912.98,21327.7,50.49
2025-08-05,Prime Distributors,Product A,2025-04,187,186.81330457891923,144.86,27089.03,27089.03,10818.53,13523.16,2656.81,10909.06,13523.16,13565.87,50.08
2025-09-23,Prime Distributors,Product B,2025-05,175,167.3704010908805,124.34,21759.16,21759.16,8251.33,10314.16,1856.28,9588.72,10314.16,11445.0,52.6
2025-03-27,Global Trading,Product B,2025-08,57,56.05253955478493,92.6,5278.47,5278.47,2194.37,2742.96,574.38,1961.13,2742.96,2535.51,48.03
2025-06-21,XYZ Ltd,Product A,2025-02,100,97.74357654603703,82.86,8286.08,8286.08,3094.97,3868.72,824.48,3592.89,3868.72,4417.36,53.31
2025-11-09,Prime Distributors,Product A,2025-04,395,377.0727390780177,142.6,56325.11,56325.11,20857.18,26071.48,5807.51,24446.12,26071.48,30253.63,53.71
2025-10-04,ABC Corp,Product B,2025-07,105,103.98255671891357,141.15,14820.8,14820.8,6427.33,8034.17,1249.03,5537.6,8034.17,6786.63,45.79
2025-10-28,ABC Corp,Product C,2025-05,229,221.77406117307387,94.65,21675.87,21675.87,8445.74,10557.17,2469.24,8649.46,10557.17,11118.7,51.3
2025-07-14,XYZ Ltd,Product A,2025-02,63,62.21129113082705,90.34,5691.53,5691.53,2109.56,2636.95,729.09,2325.48,2636.95,3054.58,53.67
2025-05-28,National Imports,Product A,2025-02,343,326.194221041888,117.28,40228.14,40228.14,15262.46,19078.08,3976.43,17173.63,19078.08,21150.06,52.58
2025-04-25,ABC Corp,Product A,2025-07,135,132.8339406542253,102.92,13894.85,13894.85,5135.27,6419.09,1977.75,5498.01,6419.09,7475.76,53.8
2025-08-08,Global Trading,Product A,2025-05,195,189.45868057573935,86.08,16786.46,16786.46,6764.42,8455.52,2032.49,6298.46,8455.52,8330.94,49.63
2025-08-27,Global Trading,Product B,2025-01,150,149.89886436594736,105.42,15812.36,15812.36,6509.53,8136.91,1896.76,5778.69,8136.91,7675.45,48.54
2025-04-11,Prime Distributors,Product A,2025-01,486,463.83566927632546,87.12,42342.64,42342.64,15761.15,19701.43,4116.43,18524.78,19701.43,22641.21,53.47
2025-06-02,ABC Corp,Product C,2025-03,292,285.8095768999626,81.28,23732.88,23732.88,9867.11,12333.88,3555.37,7843.62,12333.88,11398.99,48.03
2025-09-02,Global Trading,Product D,2025-07,183,178.94438047107747,148.25,27130.61,27130.61,10832.16,13540.21,3543.33,10047.07,13540.21,13590.4,50.09
2025-04-01,XYZ Ltd,Product C,2025-05,349,344.3975133555386,94.36,32930.04,32930.04,14404.9,18006.13,4273.22,10650.69,18006.13,14923.92,45.32
2025-04-13,National Imports,Product C,2025-01,139,135.75149655623352,133.74,18590.49,18590.49,6822.4,8528.0,2145.85,7916.65,8528.0,10062.5,54.13
2025-08-02,ABC Corp,Product B,2025-02,59,56.30921092816584,118.4,6985.73,6985.73,2821.63,3527.04,657.5,2801.18,3527.04,3458.69,49.51
2025-01-05,Prime Distributors,Product A,2025-01,314,311.3407247022673,121.69,38212.14,38212.14,15197.97,18997.46,4158.58,15056.1,18997.46,19214.68,50.28
2025-03-01,National Imports,Product B,2025-06,422,416.5376457000202,131.16,55349.83,55349.83,24080.9,30101.12,5130.17,20118.53,30101.12,25248.71,45.62
2025-03-21,National Imports,Product D,2025-05,377,361.6637340009565,137.96,52009.36,52009.36,21846.02,27307.52,7071.59,17630.25,27307.52,24701.84,47.49
2025-02-08,Global Trading,Product C,2025-06,459,446.42222039981294,143.55,65889.74,65889.74,25387.03,31733.79,7984.62,26171.33,31733.79,34155.95,51.84
2025-01-15,Global Trading,Product A,2025-06,402,389.6162135496015,132.33,53197.73,53197.73,21290.67,26613.34,5120.54,21463.85,26613.34,26584.39,49.97
2025-03-08,Prime Distributors,Product D,2025-08,484,476.5879660991608,118.0,57111.73,57111.73,22531.85,28164.81,5899.48,23047.45,28164.81,28946.92,50.68
